id,topico,subtopico,dificuldade,tempo_estimado,enunciado
1,Álgebra,Equação do 2 grau,1,3,"Resolva x² + 3x + 2 = 0"
2,Álgebra,Equação do 2 grau,2,4,"Resolva x² - 5x + 6 = 0"
3,Álgebra,Produtos notáveis,3,5,"Desenvolva (x + 2)²"
4,Álgebra,Fatoração,4,6,"Fatore x² + 7x + 12"
5,Álgebra,Sistema linear,5,8,"Resolva o sistema x + y = 10 e x - y = 2"
6,Funções,Função afim,2,4,"Determine o coeficiente angular da reta y = 2x + 3"
7,Funções,Função quadrática,4,7,"Calcule o vértice da função x² - 4x + 1"
8,Funções,Função exponencial,6,10,"Resolva 2^x = 32"
9,Funções,Função logarítmica,7,12,"Resolva log2(x) = 5"
10,Funções,Gráfico de funções,5,8,"Analise o gráfico da função y = x²"
11,Geometria,Área do triângulo,1,3,"Calcule a área de um triângulo de base 10 e altura 6"
12,Geometria,Área do círculo,2,4,"Calcule a área de um círculo de raio 5"
13,Geometria,Perímetro,2,4,"Calcule o perímetro de um quadrado de lado 8"
14,Geometria,Teorema de Pitágoras,4,7,"Calcule a hipotenusa de um triângulo com catetos 3 e 4"
15,Geometria,Volume de cubo,5,8,"Calcule o volume de um cubo de aresta 5"
16,Trigonometria,Seno,4,7,"Calcule sen(30°)"
17,Trigonometria,Cosseno,4,7,"Calcule cos(60°)"
18,Trigonometria,Tangente,5,8,"Calcule tg(45°)"
19,Trigonometria,Lei dos senos,7,12,"Resolva o triângulo usando a lei dos senos"
20,Trigonometria,Lei dos cossenos,8,14,"Resolva o triângulo usando a lei dos cossenos"
21,Probabilidade,Eventos simples,3,5,"Qual a probabilidade de tirar cara em uma moeda?"
22,Probabilidade,Eventos independentes,5,8,"Qual a probabilidade de tirar duas caras seguidas?"
23,Probabilidade,Combinação,6,10,"Calcule C(5,2)"
24,Probabilidade,Arranjo,7,11,"Calcule A(6,2)"
25,Probabilidade,Permutação,8,13,"Calcule 5!"
26,Estatística,Média aritmética,2,4,"Calcule a média dos números 5, 8 e 9"
27,Estatística,Mediana,3,5,"Determine a mediana de 2, 5, 8, 10 e 15"
28,Estatística,Moda,3,5,"Determine a moda de 1, 2, 2, 3 e 5"
29,Estatística,Desvio padrão,7,12,"Calcule o desvio padrão da amostra"
30,Estatística,Variância,6,10,"Calcule a variância dos valores"
31,Cálculo,Limites,6,10,"Calcule o limite de x² - 1 quando x tende a 1"
32,Cálculo,Derivadas,7,12,"Derive a função f(x) = x² + 3x"
33,Cálculo,Integrais,8,14,"Calcule a integral de x²"
34,Cálculo,Taxa de variação,7,11,"Determine a taxa de variação da função"
35,Cálculo,Derivada composta,9,16,"Derive f(x) = (x² + 1)^3"
36,Lógica,Tabela verdade,2,4,"Monte a tabela verdade da proposição p ^ q"
37,Lógica,Conectivos lógicos,3,5,"Determine o valor lógico da expressão"
38,Lógica,Equivalência lógica,5,8,"Verifique se as proposições são equivalentes"
39,Lógica,Argumentação,6,10,"Analise a validade do argumento"
40,Lógica,Quantificadores,7,12,"Resolva a questão envolvendo quantificadores"
41,Física,Cinemática,3,5,"Calcule a velocidade média"
42,Física,MRU,4,7,"Determine a posição no MRU"
43,Física,MRUV,5,8,"Calcule a aceleração do corpo"
44,Física,Leis de Newton,6,10,"Determine a força resultante"
45,Física,Trabalho e energia,7,12,"Calcule a energia cinética"
46,Química,Massa molar,3,5,"Calcule a massa molar da água"
47,Química,Estequiometria,5,8,"Resolva a reação química balanceada"
48,Química,pH e pOH,6,10,"Calcule o pH da solução"
49,Química,Ligações químicas,4,7,"Identifique o tipo de ligação química"
50,Química,Reações químicas,7,12,"Balanceie a equação química"
51,Álgebra,Equação linear,1,3,"Resolva 2x + 4 = 10"
52,Álgebra,Inequações,3,5,"Resolva x + 5 > 12"
53,Álgebra,Potenciação,2,4,"Calcule 2^5"
54,Álgebra,Radiciação,3,5,"Calcule a raiz quadrada de 144"
55,Álebra,Polinômios,5,8,"Some os polinômios x² + 2x e x² - x"
56,Funções,Domínio,4,6,"Determine o domínio da função f(x)=1/x"
57,Funções,Imagem,4,6,"Determine a imagem da função"
58,Funções,Função modular,6,9,"Resolva |x - 3| = 5"
59,Funções,Função composta,7,11,"Calcule f(g(x))"
60,Funções,Função inversa,8,13,"Determine a inversa da função"
61,Geometria,Área do retângulo,1,3,"Calcule a área de um retângulo de lados 5 e 8"
62,Geometria,Área do trapézio,3,5,"Calcule a área do trapézio"
63,Geometria,Semelhança de triângulos,5,8,"Determine os lados semelhantes"
64,Geometria,Ângulos internos,4,7,"Calcule a soma dos ângulos internos de um pentágono"
65,Geometria,Geometria espacial,7,12,"Calcule o volume do cilindro"
66,Trigonometria,Ciclo trigonométrico,5,8,"Determine o seno no ciclo trigonométrico"
67,Trigonometria,Identidades trigonométricas,7,11,"Simplifique a expressão trigonométrica"
68,Trigonometria,Arcos e ângulos,4,6,"Converta 180 graus para radianos"
69,Trigonometria,Função seno,6,10,"Analise o gráfico da função seno"
70,Trigonometria,Função cosseno,6,10,"Analise o gráfico da função cosseno"
71,Probabilidade,Probabilidade condicional,7,12,"Calcule a probabilidade condicional"
72,Probabilidade,Distribuição binomial,8,13,"Resolva a distribuição binomial"
73,Probabilidade,Espaço amostral,3,5,"Determine o espaço amostral"
74,Probabilidade,Eventos mutuamente exclusivos,5,8,"Calcule a probabilidade dos eventos"
75,Probabilidade,Experimentos aleatórios,4,7,"Classifique o experimento aleatório"
76,Estatística,Gráfico de barras,2,4,"Interprete o gráfico de barras"
77,Estatística,Gráfico de setores,3,5,"Analise o gráfico de pizza"
78,Estatística,Tabela de frequência,4,6,"Monte a tabela de frequência"
79,Estatística,Coeficiente de variação,7,11,"Calcule o coeficiente de variação"
80,Estatística,Distribuição normal,8,13,"Resolva utilizando distribuição normal"
81,Cálculo,Limite lateral,7,11,"Calcule o limite lateral da função"
82,Cálculo,Derivada implícita,9,15,"Calcule a derivada implícita"
83,Cálculo,Integral definida,9,15,"Resolva a integral definida"
84,Cálculo,Regra da cadeia,8,13,"Aplique a regra da cadeia"
85,Cálculo,Máximos e mínimos,8,13,"Determine os pontos críticos da função"
86,Lógica,Negação lógica,2,4,"Negue a proposição apresentada"
87,Lógica,Tautologia,5,8,"Verifique se a proposição é tautológica"
88,Lógica,Contradição,5,8,"Identifique a contradição lógica"
89,Lógica,Silogismo,6,10,"Resolva o silogismo lógico"
90,Lógica,Inferência lógica,7,12,"Determine a inferência válida"
91,Física,Gravitação,6,10,"Calcule a força gravitacional"
92,Física,Hidrostática,7,12,"Determine a pressão exercida"
93,Física,Termologia,5,8,"Calcule a quantidade de calor"
94,Física,Óptica,6,10,"Determine a distância focal"
95,Física,Eletrodinâmica,8,14,"Calcule a resistência equivalente"
96,Química,Estados físicos,2,4,"Identifique o estado físico da matéria"
97,Química,Tabela periódica,3,5,"Classifique os elementos químicos"
98,Química,Soluções químicas,5,8,"Calcule a concentração da solução"
99,Química,Oxidação,7,11,"Determine o número de oxidação"
100,Química,Termoquímica,8,14,"Calcule a variação de entalpia"